127.0.0.1 - - [23/Dec/2020:09:32:02 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:08 +0900] "GET /final/ HTTP/1.1" 200 41616
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:08 +0900] "GET /final/display?fileName= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:09 +0900] "GET /final/resources/img/bg-img/coffee111.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:09 +0900] "GET /final/resources/img/core-img/logo555.jpg HTTP/1.1" 200 9506
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:13 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:21 +0900] "GET /final/list HTTP/1.1" 200 57263
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:21 +0900] "GET /final/display?fileName= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:21 +0900] "GET /final/display?fileName=cafeimage/cafe6.jpg HTTP/1.1" 500 3933
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:21 +0900] "GET /final/display?fileName=cafeimage/cafe5.jpg HTTP/1.1" 500 3933
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:21 +0900] "GET /final/display?fileName=cafeimage/cafe3.jpg HTTP/1.1" 500 3933
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:21 +0900] "GET /final/display?fileName=cafeimage/cafe1.jpg HTTP/1.1" 500 3933
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:21 +0900] "GET /final/display?fileName=cafeimage/cafe2.jpg HTTP/1.1" 500 3933
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:21 +0900] "GET /final/display?fileName=cafeimage/cafe4.jpg HTTP/1.1" 500 3933
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:21 +0900] "GET /final/display?fileName=cafeimage/cafe7.jpg HTTP/1.1" 500 3933
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:21 +0900] "GET /final/display?fileName=cafeimage/cafe8.jpg HTTP/1.1" 500 3933
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:21 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:22 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:31 +0900] "GET /final/reply?ccode=106752 HTTP/1.1" 200 25086
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:31 +0900] "GET /final/display?fileName=bcc6f346-506c-4e88-9d79-4039e0cd76cb_UserController.JPG HTTP/1.1" 500 4041
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:31 +0900] "GET /final/display?fileName=test1.jpg HTTP/1.1" 500 3903
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:31 +0900] "GET /final/display?fileName= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:31 +0900] "GET /final/display?fileName=test2.jpg HTTP/1.1" 500 3903
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:31 +0900] "GET /final/display?fileName=test3.jpg HTTP/1.1" 500 3903
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:31 +0900] "GET /final/display?fileName=4900b9c7-4f1d-4db8-96c5-91d40106bc8a_img12.jpg HTTP/1.1" 500 4014
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:31 +0900] "GET /final/display?fileName=img01.jpg HTTP/1.1" 500 3903
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:31 +0900] "GET /final/display?fileName=taetae.jpg HTTP/1.1" 500 3828
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:31 +0900] "GET /final/display?fileName= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:31 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:44 +0900] "GET /final/update?ccode=106752 HTTP/1.1" 405 1086
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:45 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:56 +0900] "GET /final/cafeupdate?ccode=106752 HTTP/1.1" 200 25734
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:56 +0900] "GET /final/display?fileName=cafeimage/a1cf4690-678c-449c-bb07-0a363ebf965b_%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%96%B4%EB%A0%88%EC%9D%B4%EC%95%84%EC%9B%83.JPG HTTP/1.1" 500 4023
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:56 +0900] "GET /final/display?fileName=bcc6f346-506c-4e88-9d79-4039e0cd76cb_UserController.JPG HTTP/1.1" 500 3963
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:32:57 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:33:49 +0900] "POST /final/cafeupdate HTTP/1.1" 500 4548
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:34:02 +0900] "GET /final/cafeupdate?ccode=106752 HTTP/1.1" 200 25291
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:34:03 +0900] "GET /final/display?fileName= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:34:03 +0900] "GET /final/display?fileName=cafeimage/a1cf4690-678c-449c-bb07-0a363ebf965b_%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%96%B4%EB%A0%88%EC%9D%B4%EC%95%84%EC%9B%83.JPG HTTP/1.1" 500 4023
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:34:03 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:34:03 +0900] "GET /final/resources/img/core-img/favicon2.png.jpg HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:34:09 +0900] "GET /final/ HTTP/1.1" 200 41616
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:34:09 +0900] "GET /final/display?fileName= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:34:09 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [23/Dec/2020:09:40:26 +0900] "GET /final/ HTTP/1.1" 200 41616
