127.0.0.1 - - [21/Dec/2020:08:46:35 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:39 +0900] "GET /final/ HTTP/1.1" 200 41630
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:39 +0900] "GET /final/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:39 +0900] "GET /final/resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:39 +0900] "GET /final/resources/img/core-img/x.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:40 +0900] "GET /final/resources/img/core-img/logo555.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:40 +0900] "GET /final/resources/js/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:40 +0900] "GET /final/display?fileName= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:40 +0900] "GET /final/resources/img/bg-img/coffee111.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:40 +0900] "GET /final/resources/js/plugins/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:44 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:55 +0900] "GET /final/login HTTP/1.1" 200 3681
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:55 +0900] "GET /final/resources/css/main5.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:55 +0900] "GET /final/resources/img/bg-img/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:46:55 +0900] "GET /final/resources/css/images/overlay.png HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [21/Dec/2020:08:47:01 +0900] "GET /final/login_result HTTP/1.1" 200 12196
