0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:55 +0900] "GET /final/display?fileName=cafeimage/Ganghwa6-1.jpg HTTP/1.1" 200 74156
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:55 +0900] "GET /final/display?fileName=cafeimage/Ganghwa8-1.jpg HTTP/1.1" 200 133690
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:55 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:32:59 +0900] "GET /final/read?ccode=124686 HTTP/1.1" 200 36726
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=cafeimage/doredore_6.jpg HTTP/1.1" 200 288023
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=cafeimage/doredore_5.jpg HTTP/1.1" 200 140040
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=cafeimage/doredore_4.jpg HTTP/1.1" 200 278047
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=menuimages/cafuchino.jpg HTTP/1.1" 200 3681
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=menuimages/cafelatte.jpg HTTP/1.1" 200 8899
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=menuimages/espresso.jpg HTTP/1.1" 200 9744
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=menuimages/macchiato.jpg HTTP/1.1" 200 10187
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=cafeimage/doredore_3.jpg HTTP/1.1" 200 197833
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=cafeimage/doredore_2.jpg HTTP/1.1" 200 197782
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=cafeimage/doredore_1.jpg HTTP/1.1" 200 195680
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=menuimages/americano.jpg HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=/cafeimage/Ganghwa3-1.jpg HTTP/1.1" 200 204644
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=menuimages/banana.jpg HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/display?fileName=menuimages/strawberry.jpg HTTP/1.1" 200 3268
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:00 +0900] "GET /final/bestReview?ccode=124686 HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:01 +0900] "GET /final/display?fileName=gong.jpg HTTP/1.1" 200 131279
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:01 +0900] "GET /final/resources/img/core-img/heart_no.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:01 +0900] "GET /final/reviewImage?rcode=290 HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:01 +0900] "GET /final/reviewImage?rcode=291 HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:01 +0900] "GET /final/reviewImage?rcode=413 HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [27/Dec/2020:21:33:01 +0900] "GET /final/display?fileName=attach/7eb9c8f2-3430-4bf4-ac5c-fed83e8e4fae_Ganghwa3-3.jpg HTTP/1.1" 200 123158
